Model	Stok Tanımı	Stok Kodu	Barkod
3J68C901G	3J68C901G Benetton Şort, 10-11 Yaş, Gri Melanj	5003001589001	8033153988446
3J68C901G	3J68C901G Benetton Şort, 6-7 Yaş, Gri Melanj	5003001589004	8033153988453
3J68C901G	3J68C901G Benetton Şort, 7-8 Yaş, Gri Melanj	5003001589005	8033153988460
3J68C901C	3J68C901C Benetton Şort, 10-11 Yaş, Beyaz	5003001586001	8033261021424
3J68C901C	3J68C901C Benetton Şort, 11-12 Yaş, Beyaz	5003001586002	8033261021639
3J68C901C	3J68C901C Benetton Şort, 13-14 Yaş, Beyaz	5003001586003	8033261021646
3J68C901C	3J68C901C Benetton Şort, 8-9 Yaş, Beyaz	5003001586006	8033261021875
3J68C901C	3J68C901C Benetton Şort, 6-7 Yaş, Beyaz	5003001586004	8033261021899
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 8-9 Yaş, Lila	5003255873006	8055050484579
3J68C901C	3J68C901C Benetton Şort, 6-7 Yaş, Pembe	5003255814004	8055050584798
3J68C901C	3J68C901C Benetton Şort, 6-7 Yaş, Su Yeşili	5003255815004	8055050617830
3J68C901C	3J68C901C Benetton Şort, 10-11 Yaş, Su Yeşili	5003255815001	8055050617847
3J68C901C	3J68C901C Benetton Şort, 11-12 Yaş, Su Yeşili	5003255815002	8055050620786
3J68C901C	3J68C901C Benetton Şort, 8-9 Yaş, Su Yeşili	5003255815006	8055050637487
3BL0C903L	3BL0C903L Benetton Şort, 8-9 Yaş, Turuncu	5003255832006	8055050642665
3J68C901C	3J68C901C Benetton Şort, 8-9 Yaş, Fuşya	5003255798006	8055050664766
3I1XC10MZ	3I1XC10MZ Benetton T-Shirt, 8-9 Yaş, Su Yeşili	5003255893006	8055050684498
3J68C901C	3J68C901C Benetton Şort, 8-9 Yaş, Pembe	5003255814006	8055050731109
3J68C901C	3J68C901C Benetton Şort, 10-11 Yaş, Fuşya	5003255798001	8055050814567
3BL0C903L	3BL0C903L Benetton Şort, 11-12 Yaş, Turuncu	5003255832002	8055050924969
3J68C901C	3J68C901C Benetton Şort, 13-14 Yaş, Fuşya	5003255798003	8055050948460
