1	5003078107001
2	5003184389001
3	5003184398003
4	5003184398005
5	5003184429002
6	5003184429004
7	5003184438004
8	5003184499002
9	5003184499005
10	5003184506002
11	5003184506005
12	5003184510001
13	5003184545002
14	5003184545003
15	5003184545004
16	5003184545005
17	5003184566004
18	5003184567006
19	5003184589002
20	5003184589003
21	5003184589004
22	5003184589006
23	5003184593005
24	5003184620002
25	5003184620004
26	5003184620005
27	5003184632003
28	5003184632005
29	5003184695001
30	5003184695002
31	5003184695004
32	5003184695005
33	5003184697002
34	5003184697003
35	5003184697004
36	5003184705002
