1	5003279896002
2	5003279958001
3	5003280009002
4	5003280009004
5	5003280023002
6	5003280052001
7	5003280162001
8	5003280162004
9	5003280243001
10	5003280243002
11	5003280243003
12	5003280279001
13	5003280286001
14	5003280287002
15	5003280309002
16	5003280320001
17	5003280320002
18	5003287859004
19	5003287886001
20	5003287900004
21	5003287915001
22	5003287916001
23	5003287940004
24	5003280020002
25	5003279896003
26	5003280052003
27	5003287923003
28	5003287924004
29	5003287930004
30	5003287839004
31	5003287877002
32	5003287886002
33	5003287886003
34	5003287877003
35	5003287894002
36	5003287897003
37	5003287906001
38	5003287917003
39	5003287891003
40	5003287924001
41	5003287927002
42	5003287911003
43	5003287928004
44	5003287928001
45	5003280009003
46	5003287906002
47	5003287881003
48	5003287895002
49	5003287895003
50	5003287924002
51	5003287924003
52	5003287928003
53	5003287837003
54	5003287930002

